Id,Id2,Geography,Target Geo Id,Target Geo Id2,Geographic Area,Geographic Area,Dollar,Margin of Error
0400000US37,37,North Carolina,0400000US37,37,North Carolina,North Carolina,50320,204
0400000US37,37,North Carolina,0500000US37001,37001,North Carolina - Alamance County,Alamance County,44281,1192
0400000US37,37,North Carolina,0500000US37003,37003,North Carolina - Alexander County,Alexander County,44523,2886
0400000US37,37,North Carolina,0500000US37005,37005,North Carolina - Alleghany County,Alleghany County,38944,2715
0400000US37,37,North Carolina,0500000US37007,37007,North Carolina - Anson County,Anson County,38123,3690
0400000US37,37,North Carolina,0500000US37009,37009,North Carolina - Ashe County,Ashe County,40293,2235
0400000US37,37,North Carolina,0500000US37011,37011,North Carolina - Avery County,Avery County,37109,3320
0400000US37,37,North Carolina,0500000US37013,37013,North Carolina - Beaufort County,Beaufort County,41101,2273
0400000US37,37,North Carolina,0500000US37015,37015,North Carolina - Bertie County,Bertie County,31287,1747
0400000US37,37,North Carolina,0500000US37017,37017,North Carolina - Bladen County,Bladen County,32396,2931
0400000US37,37,North Carolina,0500000US37019,37019,North Carolina - Brunswick County,Brunswick County,51164,1371
0400000US37,37,North Carolina,0500000US37021,37021,North Carolina - Buncombe County,Buncombe County,48464,1288
0400000US37,37,North Carolina,0500000US37023,37023,North Carolina - Burke County,Burke County,40854,1572
0400000US37,37,North Carolina,0500000US37025,37025,North Carolina - Cabarrus County,Cabarrus County,60716,1429
0400000US37,37,North Carolina,0500000US37027,37027,North Carolina - Caldwell County,Caldwell County,40735,1356
0400000US37,37,North Carolina,0500000US37029,37029,North Carolina - Camden County,Camden County,68327,5352
0400000US37,37,North Carolina,0500000US37031,37031,North Carolina - Carteret County,Carteret County,51584,1561
0400000US37,37,North Carolina,0500000US37033,37033,North Carolina - Caswell County,Caswell County,39428,2039
0400000US37,37,North Carolina,0500000US37035,37035,North Carolina - Catawba County,Catawba County,48649,1480
0400000US37,37,North Carolina,0500000US37037,37037,North Carolina - Chatham County,Chatham County,59684,1914
0400000US37,37,North Carolina,0500000US37039,37039,North Carolina - Cherokee County,Cherokee County,38115,2031
0400000US37,37,North Carolina,0500000US37041,37041,North Carolina - Chowan County,Chowan County,41979,3658
0400000US37,37,North Carolina,0500000US37043,37043,North Carolina - Clay County,Clay County,37070,5113
0400000US37,37,North Carolina,0500000US37045,37045,North Carolina - Cleveland County,Cleveland County,40002,1561
0400000US37,37,North Carolina,0500000US37047,37047,North Carolina - Columbus County,Columbus County,36261,1778
0400000US37,37,North Carolina,0500000US37049,37049,North Carolina - Craven County,Craven County,49391,1367
0400000US37,37,North Carolina,0500000US37051,37051,North Carolina - Cumberland County,Cumberland County,44737,795
0400000US37,37,North Carolina,0500000US37053,37053,North Carolina - Currituck County,Currituck County,65758,5882
0400000US37,37,North Carolina,0500000US37055,37055,North Carolina - Dare County,Dare County,55640,2805
0400000US37,37,North Carolina,0500000US37057,37057,North Carolina - Davidson County,Davidson County,45806,1650
0400000US37,37,North Carolina,0500000US37059,37059,North Carolina - Davie County,Davie County,53493,3372
0400000US37,37,North Carolina,0500000US37061,37061,North Carolina - Duplin County,Duplin County,36679,1679
0400000US37,37,North Carolina,0500000US37063,37063,North Carolina - Durham County,Durham County,56393,1261
0400000US37,37,North Carolina,0500000US37065,37065,North Carolina - Edgecombe County,Edgecombe County,32929,1973
0400000US37,37,North Carolina,0500000US37067,37067,North Carolina - Forsyth County,Forsyth County,48369,954
0400000US37,37,North Carolina,0500000US37069,37069,North Carolina - Franklin County,Franklin County,48344,1664
0400000US37,37,North Carolina,0500000US37071,37071,North Carolina - Gaston County,Gaston County,46626,1212
0400000US37,37,North Carolina,0500000US37073,37073,North Carolina - Gates County,Gates County,52481,2532
0400000US37,37,North Carolina,0500000US37075,37075,North Carolina - Graham County,Graham County,36030,5733
0400000US37,37,North Carolina,0500000US37077,37077,North Carolina - Granville County,Granville County,52089,1982
0400000US37,37,North Carolina,0500000US37079,37079,North Carolina - Greene County,Greene County,36989,2776
0400000US37,37,North Carolina,0500000US37081,37081,North Carolina - Guilford County,Guilford County,49253,816
0400000US37,37,North Carolina,0500000US37083,37083,North Carolina - Halifax County,Halifax County,33573,1321
0400000US37,37,North Carolina,0500000US37085,37085,North Carolina - Harnett County,Harnett County,50323,1222
0400000US37,37,North Carolina,0500000US37087,37087,North Carolina - Haywood County,Haywood County,45538,2404
0400000US37,37,North Carolina,0500000US37089,37089,North Carolina - Henderson County,Henderson County,50454,1087
0400000US37,37,North Carolina,0500000US37091,37091,North Carolina - Hertford County,Hertford County,35806,2350
0400000US37,37,North Carolina,0500000US37093,37093,North Carolina - Hoke County,Hoke County,45713,2023
0400000US37,37,North Carolina,0500000US37095,37095,North Carolina - Hyde County,Hyde County,40532,9884
0400000US37,37,North Carolina,0500000US37097,37097,North Carolina - Iredell County,Iredell County,55957,1217
0400000US37,37,North Carolina,0500000US37099,37099,North Carolina - Jackson County,Jackson County,45078,4356
0400000US37,37,North Carolina,0500000US37101,37101,North Carolina - Johnston County,Johnston County,54610,1737
0400000US37,37,North Carolina,0500000US37103,37103,North Carolina - Jones County,Jones County,37256,5190
0400000US37,37,North Carolina,0500000US37105,37105,North Carolina - Lee County,Lee County,49272,2653
0400000US37,37,North Carolina,0500000US37107,37107,North Carolina - Lenoir County,Lenoir County,37515,1768
0400000US37,37,North Carolina,0500000US37109,37109,North Carolina - Lincoln County,Lincoln County,50782,1291
0400000US37,37,North Carolina,0500000US37111,37111,North Carolina - McDowell County,McDowell County,38776,1998
0400000US37,37,North Carolina,0500000US37113,37113,North Carolina - Macon County,Macon County,40659,2141
0400000US37,37,North Carolina,0500000US37115,37115,North Carolina - Madison County,Madison County,40563,2334
0400000US37,37,North Carolina,0500000US37117,37117,North Carolina - Martin County,Martin County,35969,3249
0400000US37,37,North Carolina,0500000US37119,37119,North Carolina - Mecklenburg County,Mecklenburg County,61695,596
0400000US37,37,North Carolina,0500000US37121,37121,North Carolina - Mitchell County,Mitchell County,42534,2873
0400000US37,37,North Carolina,0500000US37123,37123,North Carolina - Montgomery County,Montgomery County,38254,3424
0400000US37,37,North Carolina,0500000US37125,37125,North Carolina - Moore County,Moore County,54468,1850
0400000US37,37,North Carolina,0500000US37127,37127,North Carolina - Nash County,Nash County,46187,1313
0400000US37,37,North Carolina,0500000US37129,37129,North Carolina - New Hanover County,New Hanover County,51457,941
0400000US37,37,North Carolina,0500000US37131,37131,North Carolina - Northampton County,Northampton County,33508,2581
0400000US37,37,North Carolina,0500000US37133,37133,North Carolina - Onslow County,Onslow County,48162,1509
0400000US37,37,North Carolina,0500000US37135,37135,North Carolina - Orange County,Orange County,65522,2492
0400000US37,37,North Carolina,0500000US37137,37137,North Carolina - Pamlico County,Pamlico County,45211,2806
0400000US37,37,North Carolina,0500000US37139,37139,North Carolina - Pasquotank County,Pasquotank County,47264,1826
0400000US37,37,North Carolina,0500000US37141,37141,North Carolina - Pender County,Pender County,49357,2049
0400000US37,37,North Carolina,0500000US37143,37143,North Carolina - Perquimans County,Perquimans County,44039,2588
0400000US37,37,North Carolina,0500000US37145,37145,North Carolina - Person County,Person County,44921,2487
0400000US37,37,North Carolina,0500000US37147,37147,North Carolina - Pitt County,Pitt County,43526,1420
0400000US37,37,North Carolina,0500000US37149,37149,North Carolina - Polk County,Polk County,48412,2365
0400000US37,37,North Carolina,0500000US37151,37151,North Carolina - Randolph County,Randolph County,43598,978
0400000US37,37,North Carolina,0500000US37153,37153,North Carolina - Richmond County,Richmond County,33607,2248
0400000US37,37,North Carolina,0500000US37155,37155,North Carolina - Robeson County,Robeson County,32407,916
0400000US37,37,North Carolina,0500000US37157,37157,North Carolina - Rockingham County,Rockingham County,41700,1157
0400000US37,37,North Carolina,0500000US37159,37159,North Carolina - Rowan County,Rowan County,46978,1605
0400000US37,37,North Carolina,0500000US37161,37161,North Carolina - Rutherford County,Rutherford County,38573,2221
