"ADDRESSMAIL","ADDRESSPHYSICAL","ALTERNATEDISTRICTNAME","ALTSCHOOLNAME","CHWEBURL","CITY","COUNTYNAME","DISTRICTCODE","DISTRICTNAME","GRADESERVEDRANGE","PRINEMAIL","PRINFIRSTNAME","PRINFULLNAME","PRINLASTNAME","PRINPHONE","PRINTITLE","REGION","SCHOOLCODE","SCHOOLEMAIL","SCHOOLFAX","SCHOOLNAME","SCHOOLPHONE","SCHOOLYEAR","SID","STATE","ZIP",
"","8585 Vistavia Road","Charleston County School District","A. C. Corcoran Elementary School","http://corcoran.ccsdschools.com/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","PK-5 SPED      ","quenetta_white@charleston.k12.sc.us","Quenetta G.","field no longer used","White","843-764-2218","Ms.","Trident",036,"",8437642234,"A C Corcoran Elem                                 ",8437642218,2020,1001036,"SC",29406,
"","1 Falcon Drive","Richland County School District One","A. C. Flora High School","https://www.richlandone.org/Domain/45","Columbia","Richland                                          ",4001,"Richland 01                                       ","9-12 SPED      ","susan.childs@richlandone.org","Susan ","field no longer used","Childs","803-738-7300","Ms.","Midlands",007,"",8037387307,"A C Flora High                                    ",8037387300,2020,4001007,"SC",29204,
"","333 Etiwan Avenue","Richland County School District One","A. C. Moore Elementary","http://acmoore.richlandone.org/","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","luvenia.baker-parnel@richlandone.org","Chantelle","field no longer used","Baker-Parnell","803-343-2910","Dr.","Midlands",048,"",8039293882,"A C Moore Elem                                    ",8033432910,2020,4001048,"SC",29205,
"","726 Easter Street","Richland County School District One","A. J. Lewis Greenview Elementary","https://www.richlandone.org/Domain/23","Columbia","Richland                                          ",4001,"Richland 01                                       ","PK-5 SPED      ","lashaunda.evans@richlandone.org","LaShaunda","field no longer used","Evans","803-735-3417","Dr.","Midlands",038,"",8037353495,"A J Lewis Greenview Elem                          ",8037353417,2020,4001038,"SC",29203,
"","10 A.L. Corbett Circle","Aiken County Public Schools","A. L. Corbett Middle","https://www.acpsd.net/CORBETT","Wagener","Aiken                                             ",0201,"Aiken                                 ","6-8 SPED","rhill-davidson@acpsd.net","Robin","","Hill-Davidson","803-564-1050","Ms.","",063,"",8035641058,"A. L. Corbett Middle",8035641050,2020,0201063,"SC",29164,
"","422 Old Dixie Road","Lancaster County School District","A. R. Rucker Middle","http://rms.lancastercsd.com","Lancaster","Lancaster                                         ",2901,"Lancaster 01                                      ","6-8 SPED            ","Anita.Watts@lcsdmail.net","Anita","field no longer used","Watts","803-416-8555","Ms.","Catawba",003,"",8032851534,"A.R. Rucker Middle                                ",8034168555,2020,2901003,"SC",29720,
"","420 Westfield Street","The School District of Greenville County","A.J. Whittenburg Elementary","http://www.greenville.k12.sc.us/ajw/","Greeenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED           ","slsteven@greenville.k12.sc.us","Susan","field no longer used","Stevens","864-452-0500","Dr.","Greenville",119,"",8644520515,"A J Whittenburg Elem                              ",8644520500,2020,2301119,"SC",29601,
"","100 Old Calhoun Falls Highway","Abbeville County School District","Abbeville County Career Center","https://www.acsdsc.org/o/abbeville-county-career-center","Abbeville","Abbeville                                         ",0160,"Abbeville 60                                      ","10-12 SPED     ","dbelldunlap@acsdsc.org","Dorinda","field no longer used","Bell-Dunlap","864-366-9069","Ms.","Upper Savannah",995,"",8643664774,"Abbeville Cty Career Ctr                          ",8643669069,2020,0160995,"SC",29620,
"","701 Washington Street","Abbeville County School District","Abbeville High School","https://www.acsdsc.org/o/abbeville-high-school","Abbeville","Abbeville                                         ",0160,"Abbeville 60                                      ","9-12 SPED      ","ccostner@acsdsc.org","Charles","field no longer used","Costner","864-366-5916","Dr.","Upper Savannah",001,"",8643664939,"Abbeville High                                    ",8643665916,2020,0160001,"SC",29620,
"","2050 Abner Creek Road","Spartanburg Five","Abner Creek Academy","http://www.spart5.net/aces/site/Default.aspx?PageID=351","Duncan","Spartanburg                                       ",4205,"Spartanburg 05                                    ","PK-4 SPED          ","Karen.McMakin@spart5.net","Karen","field no longer used","McMakin","864-949-2334","Ms.","Upstate",094,"",8649492307,"Abner Creek Academy                               ",8649492334,2020,4205094,"SC",29334,
"","5109-A West Enterprise Street","Charleston County School District","Academic Magnet High School","http://amhs.ccsdschools.com/","North Charleston","Charleston                                        ",1001,"Charleston 01                                     ","9-12 SPED          ","catherine_spencer@charleston.k12.sc.us","Catherine","field no longer used","Spencer","843-746-1300","Ms.","Trident",099,"",8437461310,"Academic Magnet High                              ",8437461300,2020,1001099,"SC",29405,
"","895 International Drive","Horry County Schools","Academy For Arts Science Techn","http://aast.horrycountyschools.net/","Myrtle Beach","Horry                                             ",2601,"Horry 01                                          ","9-12 SPED      ","kwilson@horrycountyschools.net","Kelly","field no longer used","Wilson","843-903-8460","Mrs.","Waccamaw",996,"",8439038461,"Academy For Arts/Science/Techn                    ",8439038460,2020,2601996,"SC",29579,
"","109 Hinton Street","Chester County School District","Academy for Teaching and Learning  K-8","http://www.atlchester.com","Chester","Chester                                           ",1201,"Chester 01                                        ","K-8 SPED           ","rcaldwell@chester.k12.sc.us","Robyn","field no longer used","Caldwell","803-385-6334","Ms.","Catawba",601,"",8033856335,"Academy for Teaching Charter                     ",8033856334,2020,1201601,"SC",29706,
"","5639 Highway 701 North","Horry County Schools","Academy For Technolgy and Acad","http://ata.horrycountyschools.net/","Conway","Horry                                             ",2601,"Horry 01                                          ","9-12 SPED      ","jpowers@horrycountyschools.net","Jayson","field no longer used","Powers","843-488-6600","Mr.","Waccamaw",998,"",8434886601,"Academy For Tech & Acad                           ",8434886600,2020,2601998,"SC",29526,
"","2697 East Highway 76","Marion County School District","Academy of Careers and Technology","https://www.marion.k12.sc.us/Domain/21","Mullins","Marion                                            ",3410,"Marion 10","9-12 SPED","djameson@marion.k12.sc.us","Darrell ","","Jameson","843-423-1941","Mr.","",995,"",8434231943,"Academy of Careers and Technology",8434231941,2020,3410995,"SC",29574,
"","3521 Juniper Bay Road","Horry County Schools","Academy of Hope Charter","http://www.theacademyofhope.org/","Conway","Horry                                             ",2601,"Horry 01                                          ","PK-8  SPED         ","mmcloud@theacademyofhope.org","Melissa","field no longer used","McCloud","843-397-5712","Mrs.","Waccamaw",603,"",8433975719,"Academy of Hope Charter                           ",8433975712,2020,2601603,"SC",29527,
"","2455 Jefferson Davis Highway","Aiken County Public Schools","Aiken County Career Center","http://www.acpsd.net/ACCTC","Warrenville","Aiken                                             ",0201,"Aiken 01                                          ","10-12 SPED          ","klott@acpsd.net","Kenneth","field no longer used","Lott","803-593-7300","Mr.","Lower Savannah",995,"",8035937115,"Aiken County Career Center                               ",8035937300,2020,0201995,"SC",29851,
"","2050 Pine Log Road","Aiken County Public Schools","Aiken Elementary","http://www.acpsd.net/AES","Aiken","Aiken                                             ",0201,"Aiken 01                                          ","PK-5 SPED           ","CDeFillips@acpsd.net","Cynthia","field no longer used","Hewitt","803-641-2740","Dr.","Lower Savannah",016,"",8036412526,"Aiken Elem                                        ",8036412740,2020,0201016,"SC",29803,
"","449 Rutland Drive","Aiken County Public Schools","Aiken High School","http://www.acpsd.net/AHS","Aiken","Aiken                                             ",0201,"Aiken 01                                          ","9-12 SPED           ","jasonh@acpsd.net","Jason","field no longer used","Holt","803-641-2500","Dr,","Lower Savannah",002,"",8036412501,"Aiken High                                        ",8036412500,2020,0201002,"SC",29801,
"","101 Gator Lane","Aiken County Public Schools","Aiken Intermediate","https://www.acpsd.net/AIS","Aiken","Aiken                                             ",0201,"Aiken                                 ","6 SPED","EMcCray@acpsd.net","E. Denise","","McCray","803-641-2570","Mrs.","",067,"",8036412578,"Aiken Intermediate",8036412570,2020,0201067,"SC",29801,
"","471 University Parkway, Box 12","Aiken County Public Schools","Aiken Scholars Academy","https://www.acpsd.net/aikenscholarsacademy","Aiken","Aiken                                             ",0201,"Aiken                                 ","9-12 SPED","mmessick@acpsd.net","Martha","","Messick","803-641-2428","Ms.","",061,"","","Aiken Scholars Academy",8036412428,2020,0201061,"SC",29801,
"","1315 Boston Avenue","Lexington District Two","Airport High School","http://ahs.lex2.org/","West Columbia","Lexington                                         ",3202,"Lexington 02                                      ","9-12 SPED      ","damm@lex2.org","David","field no longer used","Damm","803-822-5600","Mr.","Midlands",009,"",8038225665,"Airport High                                      ",8038225600,2020,3202009,"SC",29170,
"","5125 Fairfield Road","Richland County School District One","Alcorn Middle","https://www.richlandone.org/Domain/8","Columbia","Richland                                          ",4001,"Richland 01                                       ","6-8 SPED       ","carla.mathis@richlandone.org","Carla","field no longer used","Mathis","803-735-3439","Mrs.","Midlands",019,"",8037353487,"Alcorn Middle                                     ",8037353439,2020,4001019,"SC",29203,
"","1601 Bramlett Road","The School District of Greenville County","Alexander Elementary","http://www.greenville.k12.sc.us/alexand/","Greenville","Greenville                                        ",2301,"Greenville 01                                     ","PK-5 SPED      ","jnesbitt@greenville.k12.sc.us","Johnnette","field no longer used","Nesbitt","864-355-1000","Dr.","Greenville",028,"",8643551044,"Alexander Elem                                    ",8643551000,2020,2301028,"SC",29611,
"","40 Miller Road","Sumter","Alice Drive Middle","http://adm.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","6-8 SPED       ","jeannie.pressley@sumterschools.net","Jeannie","field no longer used","Pressley","803-775-0821","Mrs.","Santee Lynches",021,"",8037782929,"Alice Drive Middle                                ",8037750821,2020,4301021,"SC",29150,
"","251 Alice Drive","Sumter","Alice Street Elementary","http://ade.sumterschools.net/","Sumter","Sumter                                            ",4301,"Sumter 01                                         ","PK-5 SPED      ","suzanna.foley@sumterschools.net","Suzanna","field no longer used","Foley","803-775-0857","Mrs.","Santee Lynches",026,"",8037757580,"Alice Drive Elementary                            ",8037750857,2020,4301026,"SC",29150,
"","120 Broad Street","Charleston County School District","Allegro Charter School of Music","http://www.allegrocharterschool.org","Charleston","Charleston                                        ",1001,"Charleston 01                                     ","6-12 SPED","dneikirk@allegrocharterschool.org","Daniel","","Neikirk","843-297-8033","Mr.","",630,"",8432074701,"Allegro Charter School of Music",8432978033,2020,1001630,"SC",29401,
"","1057 Revolutionary Trail","Palmetto Unified","Allendale Correctional Institution","NA","Fairfax","Dept Of Correct                                   ",5209,"Dept Of Correction N04                            ","9-12 SPED","thompson.matthew@doc.state.sc.us","Matthew","field no longer used","Thompson","803-734-0653","Mr.","Special REC",017,"",8036322498,"Allendale High School                                   ",8037340653,2020,5209017,"SC",29827,
"","4561 Allendale-Fairfax Highway","Allendale County Schools ","Allendale Elementary","http://ales.acs.k12.sc.us/","Allendale","Allendale                                         ",0301,"Allendale 01                                      ","3-5 SPED      ","leaths@acs.k12.sc.us","Shelia","field no longer used","Leath","803-584-3476","Ms.","Lower Savannah",004,"",8035345346,"Allendale Elem                                    ",8035843476,2020,0301004,"SC",29810,
"","3581 Allendale-Fairfax Highway","Allendale County Schools ","Allendale Fairfax High School"," http://afhs.acs.k12.sc.us/","Fairfax","Allendale                                         ",0301,"Allendale 01                                      ","9-12 SPED      ","halld@acs.k12.sc.us","Darlene","field no longer used","Hall","803-584-2311","Ms.","Lower Savannah",001,"",8035841787,"Allendale Fairfax High                            ",8035842311,2020,0301001,"SC",29827,
"","3581 Allendale-Fairfax Highway","Allendale County Schools ","Allendale-Fairfax Middle","http://afms.acs.k12.sc.us/","Fairfax","Allendale                                         ",0301,"Allendale 01                                      ","6-8 SPED       ","moodys@acs.k12.sc.us","Shamari","field no longer used","Moody","803-584-3489","Ms.","Lower Savannah",008,"",8035841787,"Allendale-Fairfax Middle                          ",8035843489,2020,0301008,"SC",29827,
"","213 Alma Street","Cherokee County School District","Alma Elementary","https://aes.cherokee1.org/","Gaffney","Cherokee                                          ",1101,"Cherokee 01                                       ","PK-5 SPED      ","Traci.Allison@cherokee1.org","Traci","field no longer used","Allison","864-206-6482","Ms.","Upstate",005,"",8644871238,"Alma Elem                                         ",8642066482,2020,1101005,"SC",29340,
"","500 Bryan Street","Dorchester 2","Alston Middle","http://ams.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","6-8 SPED       ","mleviner@dorchester2.k12.sc.us","Michelle","field no longer used","Leviner","843-873-3890","Ms.","Trident",011,"",8438213978,"Alston Middle                                     ",8438733890,2020,1802011,"SC",29483,
"","820 West 5th North Street","Dorchester 2","Alston-Bailey Elementary School","http://abes.ddtwo.org","Summerville","Dorchester                                        ",1802,"Dorchester 02                                     ","PK-5 SPED      ","vbodison@dorchester2.k12.sc.us","Vernisa","","Bodison","843-695-5210","Ms.","",031,"",8436955211,"Alston-Bailey Elementary",8436955210,2020,1802031,"SC",29483,
"","838 Ambler School Road","School District of Pickens County","Ambler Elementary School","http://aes.pickens.k12.sc.us/","Pickens","Pickens                                           ",3901,"Pickens 01                                        ","PK-5 SPED      ","carltonlewis@pickens.k12.sc.us ","Carlton J.","","Lewis","864-397-1200","Dr.","",033,"",8648985589,"Ambler Elementary",8643971200,2020,3901033,"SC",29671,
"","1225 South McDuffie Street","Anderson School District Five","Anderson  Five Charter School","https://www.anderson5.net/Domain/4026","Anderson","Anderson                                          ",0405,"Anderson 05                                       ","9-12 SPED","katiebrown@anderson5.net","Katie ","field no longer used","Brown","864-260-5538","Mrs.","Pendleton",601,"",8642605911,"Anderson Five Charter",8642605538,2020,0405601,"SC",29624,
"","","Anderson Alternative School District","Anderson Alternative","","","Anderson                                          ",0470,"Anderson Alternative                              ","6-12           ","","","field no longer used","","","","Pendleton",750,"","","Anderson Alternative                              ","",2020,0470750,"","",
"","315 Pearman Dairy Road","Anderson School District Five","Anderson Institute of Technology","https://www.anderson5.net/ait","Anderson","Anderson                                          ",0481,"Anderson 05                                       ","9-12 SPED","JamesCouch@anderson5.net","Bob","","Couch","864-222-4120","Dr.","",996,"","","Anderson Institute of Technology",8642224120,2020,0481996,"SC",29625,
"","","Anderson School District Five","Anderson Institute of Technology","","","Anderson                                          ",0481,"Anderson 05                                       ","9-12 SPED","","","","","","","",996,"","","Anderson Institute of Technology","",2020,0481996,"","",
